PassengerId,Survived,Class,Name,SibSp,Parch,Ticket,Fare,Cabin,Age,Hometown,Boarded,Destination,Gender
1,No,3,"Braund, Mr. Owen Harris",1,0,A/5 21171,7.25,unknown,22,"Bridgerule, Devon, England",Southampton,"Qu'Appelle Valley, Saskatchewan, Canada",M
2,Sí,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,0,PC 17599,71.28,C85,35,"New York, New York, US",Cherbourg,"New York, New York, US",F
3,Sí,3,"Heikkinen, Miss. Laina",0,0,STON/O2. 3101282,7.92,unknown,26,"Jyväskylä, Finland",Southampton,"New York, New York, US",F
4,Sí,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0,113803,53.1,C123,35,"Scituate, Massachusetts, US",Southampton,"Scituate, Massachusetts, US",F
5,No,3,"Allen, Mr. William Henry",0,0,373450,8.05,unknown,35,"Birmingham, West Midlands, England",Southampton,"New York, New York, US",M
6,No,3,"Moran, Mr. James",0,0,330877,8.46,unknown,22,"Cork, Ireland",Queenstown,"New York, New York, US",M
7,No,1,"McCarthy, Mr. Timothy J",0,0,17463,51.86,E46,54,"Dorchester, Massachusetts, US",Southampton,"Dorchester, Massachusetts, US",M
8,No,3,"Palsson, Master. Gosta Leonard",3,1,349909,21.08,unknown,2,"Bjuv, Skåne, Sweden",Southampton,"Chicago, Illinois, US",M
9,Sí,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,2,347742,11.13,unknown,26,"St. Charles, Illinois, US",Southampton,"St. Charles, Illinois, US",F
10,Sí,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,0,237736,30.07,unknown,14,"Zahlé, Lebanon, Ottoman Empire",Cherbourg,"Cleveland, Ohio, US",F
11,Sí,3,"Sandstrom, Miss. Marguerite Rut",1,1,PP 9549,16.7,G6,4,"Motala, Östergötland, Sweden",Southampton,"San Francisco, US",F
12,Sí,1,"Bonnell, Miss. Elizabeth",0,0,113783,26.55,C103,61,"Youngstown, Ohio, US",Southampton,"Youngstown, Ohio, US",F
13,No,3,"Saundercock, Mr. William Henry",0,0,A/5. 2151,8.05,unknown,19,"St Austell, Cornwall, England",Southampton,"New York, New York, US",M
14,No,3,"Andersson, Mr. Anders Johan",1,5,347082,31.28,unknown,39,"Kisa, Östergötland, Sweden",Southampton,"Winnipeg, Manitoba, Canada",M
15,No,3,"Vestrom, Miss. Hulda Amanda Adolfina",0,0,350406,7.85,unknown,14,"Salmunds, Gotland, Sweden",Southampton,"Los Angeles, US",F
16,Sí,2,"Hewlett, Mrs. (Mary D Kingcome) ",0,0,248706,16.0,unknown,56,"Lucknow, British India, UK[note 3]",Southampton,"Rapid City, South Dakota, US",F
17,No,3,"Rice, Master. Eugene",4,1,382652,29.12,unknown,2,"Athlone, Westmeath, Ireland",Queenstown,"Spokane, Washington, US",M
18,Sí,2,"Williams, Mr. Charles Eugene",0,0,244373,13.0,unknown,23,"Harrow, London, England",Southampton,"Chicago, Illinois, US",M
19,No,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0,345763,18.0,unknown,31,"Pittem, Belgium",Southampton,"Fremont, Ohio, US",F
20,Sí,3,"Masselmani, Mrs. Fatima",0,0,2649,7.22,unknown,22,"Tebnine, Lebanon",Cherbourg,"Michigan City, Indiana, US",F
21,No,2,"Fynney, Mr. Joseph J",0,0,239865,26.0,unknown,35,"Liverpool, Merseyside, England, UK",Southampton,"Montreal, Quebec, Canada",M
22,Sí,2,"Beesley, Mr. Lawrence",0,0,248698,13.0,D56,34,"London, England, UK",Southampton,"Toronto, Ontario, Canada",M
23,Sí,3,"McGowan, Miss. Anna ""Annie""",0,0,330923,8.03,unknown,16,"Massbrook, Mayo, Ireland",Queenstown,"Chicago, Illinois, US",F
24,Sí,1,"Sloper, Mr. William Thompson",0,0,113788,35.5,A6,28,"New Britain, Connecticut, US",Southampton,"New Britain, Connecticut, US",M
25,No,3,"Palsson, Miss. Torborg Danira",3,1,349909,21.08,unknown,8,"Bjuv, Skåne, Sweden",Southampton,"Chicago, Illinois, US",F
26,Sí,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,5,347077,31.39,unknown,38,"Alseda, Småland, Sweden",Southampton,"Worcester, Massachusetts, US",F
27,No,3,"Emir, Mr. Farred Chehab",0,0,2631,7.22,unknown,25,"Hadath, Lebanon",Cherbourg,"New York, New York, US",M
28,No,1,"Fortune, Mr. Charles Alexander",3,2,19950,263.0,C23 C25 C27,19,"Winnipeg, Manitoba, Canada",Southampton,"Winnipeg, Manitoba, Canada",M
29,Sí,3,"O'Dwyer, Miss. Ellen ""Nellie""",0,0,330959,7.88,unknown,25,"Limerick, Limerick, Ireland",Queenstown,"New York, New York, US",F
30,No,3,"Todoroff, Mr. Lalio",0,0,349216,7.9,unknown,23,"Unknown, Bulgaria",Southampton,"Chicago, Illinois, US",M
